2018-05-18 11:16:46,583 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 11:18:25,470 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 11:20:25,010 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 11:20:42,338 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 11:20:42,550 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 2.146 seconds (JVM running for 39.963)
2018-05-18 11:20:54,581 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 49.318 seconds (JVM running for 51.994)
2018-05-18 14:12:31,837 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 14:12:53,728 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 14:12:53,959 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 2.318 seconds (JVM running for 60.999)
2018-05-18 14:13:06,680 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 69.705 seconds (JVM running for 73.721)
2018-05-18 14:49:03,346 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 14:49:22,330 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 14:49:22,521 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 2.176 seconds (JVM running for 37.257)
2018-05-18 14:49:36,332 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 48.289 seconds (JVM running for 51.069)
2018-05-18 15:11:40,401 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 15:11:58,777 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 15:11:58,992 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 2.296 seconds (JVM running for 32.709)
2018-05-18 15:12:10,528 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 40.873 seconds (JVM running for 44.245)
2018-05-18 15:17:47,413 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 15:18:06,933 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 15:18:07,141 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 2.256 seconds (JVM running for 34.281)
2018-05-18 15:18:18,758 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 43.431 seconds (JVM running for 45.898)
2018-05-18 15:29:05,336 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 15:29:39,564 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 15:29:39,834 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 2.394 seconds (JVM running for 48.299)
2018-05-18 15:29:51,531 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 56.96 seconds (JVM running for 59.996)
2018-05-18 15:49:13,813 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 15:49:36,999 [main] INFO  com.asiainfo.config.busi.ApolloMDA 27 - updating batch, old value: 0, new value: 100
